VALORES	OSFL/ Comunidad (1)	Servicios (2)	Productos (3)	Eco- Amigable (4)	Personalidad (5)	Bienestar (6)	Tecnología (7)
Abnegación	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Abundancia	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
Accesibilidad	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
Agilidad	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
Agradecimiento	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
Alegría	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
Altruísmo	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Amabilidad	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Amistad	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Amor	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
Aprendizaje	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
Audacia	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Autenticidad	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
Aventurero	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
Ayudar	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Balance	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Bienestar	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
Bondad	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Calidad	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
Caridad	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Colaboración	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
Compasión	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
Competente	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
Compromiso	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
Comunicación	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
Comunidad	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
Conciencia	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
Conexión	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
Confianza	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
Conocimiento	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
Consideración	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Constancia	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
Cooperación	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
Creatividad	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
Curiosidad	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Determinación	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
Dignidad	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Diligentes	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
Dinamismo	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
Disciplina	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
Diversidad	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Diversión	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
Educación	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
Eficacia	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
Eficiencia	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
Empatía	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
Empoderamiento	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
Equidad	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Equilibrio	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
Esfuerzo	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
Estabilidad	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
Estratégico	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
Estructura	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
Excelencia	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
Experiencia	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Familiar	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
Flexibilidad	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
Generosidad	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Gratitud	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
Honestidad	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
Honradez	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Humildad	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Independencia	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
Igualdad	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
Impacto Social	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
Responsabilidad ambiental	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
Inclusión	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Influencia	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
Innovación	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
Integridad	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Intuición	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Justicia	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Lealtad	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
Libertad	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Liderazgo	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
Motivación	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
Optimismo	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
Originalidad	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
Paciencia	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Pasión	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
Perseverancia	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
Placer	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
Precisión	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
Privacidad	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
Proactivo	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Profesionalismo	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
Prudencia	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Rapidez	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
Resiliencia	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Resistencia	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
Respeto	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Responsabilidad	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Seguridad	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
Servicial	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
Simplicidad	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
Sinceridad	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Solidaridad	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sostenibilidad	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
Superación	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
Sustentabilidad	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Trabajo en equipo	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Transparencia	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
Integración	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
Utilidad	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
Valentía	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Vitalidad	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE